,Manual,Vectorized,Non Vectorized
10,0.0014586925506591796,0.001674056053161621,0.0016463518142700196
45,0.0019443988800048827,0.0017572879791259766,0.0017278671264648437
80,0.002902364730834961,0.0021059513092041016,0.002305340766906738
115,0.004835367202758789,0.002641749382019043,0.0030940771102905273
150,0.00850241184234619,0.0035146474838256836,0.0045740604400634766
185,0.013457965850830079,0.005465412139892578,0.007180023193359375
220,0.021782445907592773,0.0071604251861572266,0.009265995025634766
255,0.031927967071533205,0.00925459861755371,0.014184665679931641
290,0.047214174270629884,0.01151573657989502,0.017488932609558104
325,0.06296534538269043,0.015267205238342286,0.024467110633850098
360,0.08362174034118652,0.019022536277770997,0.029978013038635253
395,0.11093051433563232,0.02308049201965332,0.038443350791931154
430,0.13814032077789307,0.028700613975524904,0.04861519336700439
465,0.17654261589050294,0.03469204902648926,0.05816261768341065
500,0.21962566375732423,0.0422346830368042,0.07271194458007812
