imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
200;0.479902;0.520098;
400;0.470928;0.529072;
600;0.469611;0.530389;
800;0.472845;0.527155;
1000;0.469303;0.530697;
1200;0.450813;0.549187;
1400;0.468435;0.531565;
1600;0.471456;0.528544;
1800;0.494534;0.505466;
2000;0.492699;0.507301;
2200;0.494897;0.505103;
2400;0.49962;0.50038;
2600;0.497115;0.502885;
2800;0.496044;0.503956;
3000;0.485341;0.514659;
3200;0.398417;0.601583;
3400;0.490989;0.509011;
3600;0.498539;0.501461;
3800;0.501846;0.498154;
4000;0.498419;0.501581;
4200;0.498594;0.501406;
4400;0.495477;0.504523;
4600;0.495062;0.504938;
4800;0.495386;0.504614;
5000;0.491862;0.508138;
