imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
100;0.257437;0.742563;
200;0.245325;0.754675;
300;0.248698;0.751302;
400;0.250618;0.749382;
500;0.248953;0.751047;
600;0.249778;0.750222;
700;0.254668;0.745332;
800;0.266573;0.733427;
900;0.265986;0.734014;
1000;0.266848;0.733152;
1100;0.265883;0.734117;
1200;0.265817;0.734183;
1300;0.266492;0.733508;
1400;0.271565;0.728435;
1500;0.27865;0.72135;
1600;0.276139;0.723861;
1700;0.278809;0.721191;
1800;0.277308;0.722692;
1900;0.278472;0.721528;
2000;0.278282;0.721718;
2100;0.283949;0.716051;
2200;0.287496;0.712504;
2300;0.28738;0.71262;
2400;0.287756;0.712244;
2500;0.284723;0.715277;
2600;0.287193;0.712807;
2700;0.28771;0.71229;
2800;0.290085;0.709915;
2900;0.29509;0.70491;
3000;0.295;0.705;
3100;0.294643;0.705357;
3200;0.295311;0.704689;
3300;0.294848;0.705152;
3400;0.293862;0.706138;
3500;0.295073;0.704927;
3600;0.301224;0.698776;
3700;0.300058;0.699942;
3800;0.300126;0.699874;
3900;0.299886;0.700114;
4000;0.299861;0.700139;
4100;0.300758;0.699242;
4200;0.301128;0.698872;
4300;0.301564;0.698436;
4400;0.306218;0.693782;
4500;0.294502;0.705498;
4600;0.305406;0.694594;
4700;0.306336;0.693664;
4800;0.306631;0.693369;
4900;0.306359;0.693641;
5000;0.311359;0.688641;
