imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
250;0.325702;0.674298;
500;0.330782;0.669218;
750;0.328209;0.671791;
1000;0.312692;0.687308;
1250;0.305248;0.694752;
1500;0.309865;0.690135;
1750;0.309638;0.690362;
2000;0.310151;0.689849;
2250;0.309064;0.690936;
2500;0.306792;0.693208;
2750;0.309406;0.690594;
3000;0.307195;0.692805;
3250;0.329241;0.670759;
3500;0.3249;0.6751;
3750;0.313754;0.686246;
4000;0.336318;0.663682;
4250;0.325384;0.674616;
4500;0.335598;0.664402;
4750;0.329287;0.670713;
5000;0.321079;0.678921;
