imgs;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.5;0.5;
100;0.297872;0.702128;
200;0.304363;0.695637;
300;0.293355;0.706645;
400;0.29714;0.70286;
500;0.300475;0.699525;
600;0.311686;0.688314;
700;0.294263;0.705737;
800;0.297795;0.702205;
900;0.298681;0.701319;
1000;0.302282;0.697718;
1100;0.30572;0.69428;
1200;0.32273;0.67727;
1300;0.311275;0.688725;
1400;0.301233;0.698767;
1500;0.308209;0.691791;
1600;0.305314;0.694686;
1700;0.305537;0.694463;
1800;0.307099;0.692901;
1900;0.308198;0.691802;
2000;0.31052;0.68948;
2100;0.31594;0.68406;
2200;0.311853;0.688147;
2300;0.308886;0.691114;
2400;0.314731;0.685269;
2500;0.314726;0.685274;
2600;0.315014;0.684986;
2700;0.308982;0.691018;
2800;0.313715;0.686285;
2900;0.31451;0.68549;
3000;0.313323;0.686677;
3100;0.308777;0.691223;
3200;0.314298;0.685702;
3300;0.313117;0.686883;
3400;0.294849;0.705151;
3500;0.288633;0.711367;
3600;0.300056;0.699944;
3700;0.312665;0.687335;
3800;0.31566;0.68434;
3900;0.305077;0.694923;
4000;0.291086;0.708914;
4100;0.298283;0.701717;
4200;0.281158;0.718842;
4300;0.291158;0.708842;
4400;0.281837;0.718163;
4500;0.29172;0.70828;
4600;0.286665;0.713335;
4700;0.315543;0.684457;
4800;0.315086;0.684914;
4900;0.315184;0.684816;
5000;0.287906;0.712094;
