gpu_prop;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.277906;422.407;422.704;
0.05;41.5521;418.962;419.346;
0.1;67.6362;388.08;388.396;
0.15;109.475;368.623;369.282;
0.2;120.833;355.399;355.724;
0.25;167.064;332.856;333.163;
0.3;194.513;315.6;315.989;
0.35;222.335;292.168;292.453;
0.4;245.477;295.547;295.845;
0.45;264.28;279.333;279.719;
0.5;298.344;235.469;298.597;
0.55;355.265;208.5;355.457;
0.6;355.645;197.517;355.822;
0.65;384.161;173.487;384.333;
0.7;417.159;139.043;417.361;
0.75;456.33;116.089;456.571;
0.8;474.751;95.0332;474.938;
0.85;501.529;79.1629;501.713;
0.9;529.401;51.5701;529.595;
0.95;585.5;24.2892;585.711;
1;599.925;0.501225;600.094;
