gpu_prop;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.781621;4811.57;4811.99;
0.05;284.893;4597.18;4597.69;
0.1;409.519;4341.14;4341.59;
0.15;633.882;4104.71;4105.21;
0.2;779.82;3862.78;3863.21;
0.25;972.179;3638.37;3644.63;
0.3;1166.14;3386.75;3387.17;
0.35;1411.95;3256.71;3271.48;
0.4;1573.92;2974.75;2975.25;
0.45;1762.69;2725.89;2728.1;
0.5;1924.99;2459.76;2460.27;
0.55;2145.73;2226.59;2230.02;
0.6;2275.78;1968.55;2276.15;
0.65;2443.22;1738.1;2446.23;
0.7;2561.28;1472.81;2561.61;
0.75;2751.24;1229.76;2753.64;
0.8;2920.68;985.675;2920.96;
0.85;3020.89;738.811;3021.15;
0.9;3176.59;502.831;3176.82;
0.95;3689.48;256.021;3689.73;
1;3736.42;0.971559;3736.68;
