gpu_prop;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.75074;1008.75;1009.08;
0.05;142.224;975.503;975.845;
0.1;275.204;944.567;944.828;
0.15;404.959;892.576;893.053;
0.2;591.068;874.253;874.581;
0.25;679.838;818.994;819.376;
0.3;794.586;787.002;794.895;
0.35;910.374;719.94;910.653;
0.4;1054.1;699.385;1054.36;
0.45;1129.12;615.632;1129.44;
0.5;1255.88;584.361;1256.16;
0.55;1369;502.732;1369.3;
0.6;1459.38;463.614;1459.6;
0.65;1654.53;394.021;1654.77;
0.7;1694.55;341.601;1694.86;
0.75;1940.12;286.196;1940.39;
0.8;2238.48;246.123;2239.32;
0.85;2273.88;170.147;2274.18;
0.9;2225.9;120.961;2226.2;
0.95;2487.28;61.9526;2487.62;
1;2399.55;0.874236;2399.85;
