gpu_prop;Intel(R)_UHD_Graphics_620_[0x3ea0];NVIDIA_GeForce_MX130;total
0;0.646427;788.854;789.158;
0.05;89.6779;744.438;744.752;
0.1;177.262;707.315;707.609;
0.15;251.493;678.397;678.78;
0.2;350.766;642.209;642.494;
0.25;466.219;601.184;601.487;
0.3;548.097;569.331;569.623;
0.35;573.4;536.844;573.617;
0.4;705.924;496.491;706.158;
0.45;756.547;455.226;756.805;
0.5;841.951;412.017;842.138;
0.55;916.765;373.924;917.096;
0.6;1041.91;329.958;1042.18;
0.65;1045.96;292.917;1046.17;
0.7;1114.86;252.992;1115.08;
0.75;1253;217.236;1253.36;
0.8;1272.13;167.778;1272.36;
0.85;1436.25;127.86;1436.47;
0.9;1492.34;91.3255;1492.62;
0.95;1479.62;44.4185;1479.84;
1;1544.87;1.65007;1545.42;
