gpu_prop;gpu;cpu;total
0;8.25012;8118.15;8118.49
0.05;203.49;12789.9;12790.4
0.1;383.364;8259.18;8259.6
0.15;570.639;7815.18;7815.55
0.2;759.478;7395.65;7396.03
0.25;955.485;6957.81;6958.17
0.3;1132.37;6518.28;6518.68
0.35;1321.92;6103.64;6104.09
0.4;1509;5660.49;5660.9
0.45;1697.09;5217.56;5218.03
0.5;1885.18;4782.16;4782.61
0.55;2072.65;4342.68;4343.12
0.6;2262.17;3889.07;3889.45
0.65;2450.39;3434.3;3434.7
0.7;2635.12;2983.74;2984.16
0.75;2819.8;2516.25;2821.32
0.8;3006.52;2022.62;3008.05
0.85;7515.12;1517.28;7517.82
0.9;12552.8;3215.62;12556
0.95;13255.3;1643.63;13258.5
1;13944.8;54.7229;13948
